Resultado da Simulação

Arquivo de Entrada: entrada_Ex_Barra.txt


---------- Deslocamentos nos Pontos ----------
|Ponto|              u             |              v             |
|      96|                    2.440500e+05|
|      97|                    2.431500e+05|
|      98|                    2.422500e+05|
|      99|                    2.413500e+05|
|     100|                    2.404500e+05|
|     101|                    2.398875e+05|
|     102|                    2.396625e+05|
|     103|                    2.394375e+05|
|     104|                    2.392125e+05|
|     105|                    2.389875e+05|
|     106|                    2.387625e+05|
|     107|                    2.385375e+05|
|     108|                    2.383125e+05|
|     109|                    2.380875e+05|
|     110|                    2.378625e+05|
|     111|                    2.376375e+05|
|     112|                    2.374125e+05|
|     113|                    2.371875e+05|
|     114|                    2.369625e+05|
|     115|                    2.367375e+05|
|     116|                    2.365125e+05|
|     117|                    2.362875e+05|
|     118|                    2.360625e+05|
|     119|                    2.358375e+05|
|     120|                    2.356125e+05|
|     121|                    2.353875e+05|
|     122|                    2.351625e+05|
|     123|                    2.349375e+05|
|     124|                    2.347125e+05|
|     125|                    2.344875e+05|
|     126|                    2.342625e+05|
|     127|                    2.340375e+05|
|     128|                    2.338125e+05|
|     129|                    2.335875e+05|
|     130|                    2.333625e+05|
|     131|                    2.331375e+05|
|     132|                    2.329125e+05|
|     133|                    2.326875e+05|
|     134|                    2.324625e+05|
|     135|                    2.322375e+05|
|     136|                    2.320125e+05|
|     137|                    2.317875e+05|
|     138|                    2.315625e+05|
|     139|                    2.313375e+05|
|     140|                    2.311125e+05|
|     141|                    2.308875e+05|
|     142|                    2.306625e+05|
|     143|                    2.304375e+05|
|     144|                    2.302125e+05|
|     145|                    2.299875e+05|
|     146|                    2.297625e+05|
|     147|                    2.295375e+05|
|     148|                    2.293125e+05|
|     149|                    2.290875e+05|
|     150|                    2.288625e+05|
|     151|                    2.286375e+05|
|     152|                    2.284125e+05|
|     153|                    2.281875e+05|
|     154|                    2.279625e+05|
